State,Tract,County,StateLegislativeDistrictsUpper
36,012601,081,010
36,012602,071,039
36,012602,081,010
36,012700,001,044
36,012700,047,025
36,012700,055,056
36,012700,061,027
36,012700,067,050
36,012700,071,039
36,012700,087,038
36,012700,119,037
36,012701,005,032
36,012701,007,052
36,012702,007,052
36,012800,001,044
36,012800,007,052
36,012800,029,060
36,012800,055,056
36,012800,061,028
36,012800,067,050
36,012800,071,039
36,012800,081,010
36,012800,081,015
36,012800,087,038
36,012801,047,022
36,012801,047,023
36,012802,119,037
36,012804,085,024
36,012805,085,024
36,012806,085,024
36,012900,001,044
36,012900,007,052
36,012900,055,056
36,012900,061,027
36,012900,061,031
36,012900,067,050
36,012900,071,039
36,012900,119,040
36,012901,005,032
36,012901,029,060
36,012901,047,025
36,012902,029,060
36,012902,047,025
36,013000,001,044
36,013000,005,034
36,013000,007,052
36,013000,047,022
36,013000,047,023
36,013000,061,028
36,013000,067,050
36,013000,071,039
36,013000,081,010
36,013000,081,015
36,013000,119,040
36,013001,029,060
36,013001,055,056
36,013001,087,038
36,013002,029,060
36,013002,055,056
36,013002,087,038
36,013003,087,038
36,013100,001,044
36,013100,005,032
36,013100,007,052
36,013100,047,025
36,013100,061,027
36,013100,061,028
36,013100,067,050
36,013100,071,039
